;0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15
A/B;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0
A/C;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0
A/D;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0
A/gnd;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
A/n1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
A/C/D/n1/n2;0;1;1;1;1;0;1;0;1;0;1;0;0;0;0;0
A/n3;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0
A/Q;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
A/vdd;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
B/C;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0
B/D;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0
B/gnd;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
B/n1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
B/C/n1/n2;0;1;1;0;1;0;0;0;1;1;1;1;1;1;0;0
B/n3;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0
B/Q;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
B/vdd;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
C/D;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0
C/gnd;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
C/n1;1;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0
C/n1/n2;0;1;1;1;0;0;0;0;1;1;1;1;0;0;0;0
C/B/n3;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
C/Q;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
C/vdd;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
D/gnd;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
D/n1;1;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0
D/C/n1/n2;0;1;1;1;1;0;0;0;1;0;0;0;0;0;0;0
D/n3;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
D/Q;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
D/vdd;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
n1/gnd;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
n1/n2;0;0;0;0;1;1;1;1;1;1;1;1;1;1;1;1
n1/n3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
n1/Q;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
n1/vdd;0;0;0;0;1;0;0;0;1;0;0;0;1;0;0;0
n2/gnd;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
n2/n3;1;1;1;1;0;1;1;1;0;1;1;1;0;1;1;1
n2/Q;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
n2/vdd;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
n3/gnd;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
n3/n2/Q;0;0;0;0;1;0;0;0;1;0;0;0;1;0;0;0
n3/vdd;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0
Q/gnd;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Q/vdd;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
